iter	Passed	Remaining
0	160	160625
1	175	87569
2	184	61360
3	195	48761
4	206	41016
5	216	35898
6	225	32044
7	235	29228
8	244	26970
9	255	25299
10	265	23885
11	274	22576
12	283	21552
13	292	20600
14	301	19829
15	309	19044
16	318	18426
17	327	17871
18	335	17347
19	344	16868
20	352	16412
21	360	16006
22	367	15630
23	375	15285
24	385	15016
25	395	14815
26	404	14573
27	415	14434
28	425	14252
29	434	14049
30	444	13909
31	453	13728
32	465	13650
33	477	13566
34	485	13378
35	493	13212
36	500	13039
37	509	12893
38	517	12741
39	526	12644
40	536	12537
41	546	12458
42	555	12372
43	564	12271
44	573	12171
45	583	12107
46	595	12069
47	606	12034
48	618	12007
49	631	11989
50	640	11920
51	648	11825
52	657	11748
53	665	11667
54	674	11594
55	682	11508
56	691	11447
57	699	11365
58	708	11297
59	715	11214
60	724	11159
61	733	11097
62	743	11055
63	751	10997
64	760	10935
65	769	10893
66	779	10849
67	792	10865
68	801	10808
69	809	10752
70	817	10694
71	825	10634
72	832	10574
73	840	10520
74	848	10462
75	856	10415
76	864	10358
77	872	10313
78	880	10263
79	888	10218
80	895	10164
81	904	10122
82	911	10068
83	919	10027
84	926	9977
85	934	9935
86	944	9911
87	954	9897
88	962	9852
89	971	9819
90	979	9781
91	988	9755
92	996	9721
93	1005	9691
94	1014	9667
95	1023	9634
96	1031	9604
97	1040	9577
98	1049	9551
99	1059	9531
100	1070	9524
101	1085	9552
102	1116	9726
103	1133	9761
104	1147	9781
105	1159	9777
106	1171	9777
107	1183	9778
108	1194	9768
109	1205	9754
110	1214	9728
111	1224	9705
112	1233	9686
113	1241	9649
114	1252	9635
115	1262	9619
116	1269	9581
117	1277	9546
118	1284	9509
119	1292	9475
120	1299	9443
121	1307	9410
122	1315	9381
123	1323	9349
124	1331	9319
125	1339	9289
126	1347	9259
127	1354	9229
128	1362	9201
129	1370	9170
130	1377	9140
131	1385	9110
132	1393	9082
133	1402	9063
134	1413	9058
135	1421	9028
136	1429	9002
137	1436	8972
138	1444	8945
139	1451	8914
140	1458	8886
141	1466	8860
142	1474	8835
143	1481	8807
144	1488	8777
145	1496	8751
146	1503	8724
147	1511	8700
148	1518	8672
149	1528	8659
150	1536	8636
151	1544	8614
152	1551	8590
153	1569	8622
154	1579	8608
155	1589	8599
156	1598	8584
157	1608	8570
158	1617	8557
159	1627	8545
160	1635	8520
161	1643	8502
162	1651	8478
163	1660	8461
164	1667	8439
165	1676	8423
166	1685	8408
167	1694	8394
168	1702	8373
169	1712	8362
170	1723	8354
171	1731	8337
172	1740	8322
173	1748	8302
174	1757	8283
175	1764	8262
176	1772	8243
177	1780	8220
178	1787	8200
179	1794	8176
180	1802	8156
181	1810	8135
182	1817	8114
183	1825	8094
184	1832	8072
185	1840	8053
186	1848	8037
187	1856	8018
188	1865	8004
189	1876	7997
190	1883	7977
191	1891	7960
192	1899	7941
193	1907	7922
194	1914	7902
195	1922	7884
196	1929	7865
197	1937	7847
198	1944	7827
199	1952	7811
200	1960	7792
201	1968	7776
202	1975	7757
203	1983	7738
204	1990	7719
205	1997	7699
206	2005	7683
207	2013	7665
208	2022	7656
209	2032	7647
210	2040	7631
211	2048	7615
212	2056	7599
213	2063	7580
214	2071	7562
215	2078	7545
216	2086	7528
217	2093	7510
218	2101	7494
219	2109	7478
220	2117	7462
221	2124	7445
222	2132	7428
223	2140	7413
224	2147	7397
225	2155	7380
226	2162	7364
227	2171	7354
228	2182	7349
229	2190	7334
230	2198	7319
231	2205	7302
232	2213	7287
233	2221	7271
234	2228	7255
235	2236	7239
236	2243	7221
237	2251	7207
238	2258	7191
239	2266	7176
240	2273	7160
241	2281	7145
242	2288	7128
243	2296	7115
244	2304	7100
245	2312	7086
246	2319	7070
247	2328	7062
248	2338	7051
249	2346	7038
250	2353	7022
251	2361	7009
252	2369	6995
253	2377	6981
254	2384	6966
255	2391	6951
256	2399	6937
257	2407	6923
258	2415	6911
259	2423	6897
260	2432	6888
261	2440	6873
262	2449	6863
263	2477	6905
264	2500	6935
265	2518	6950
266	2529	6944
267	2536	6929
268	2545	6918
269	2555	6908
270	2564	6899
271	2574	6889
272	2583	6880
273	2594	6873
274	2604	6867
275	2615	6860
276	2624	6849
277	2633	6838
278	2642	6828
279	2652	6821
280	2663	6815
281	2675	6812
282	2685	6803
283	2693	6791
284	2702	6778
285	2710	6766
286	2718	6752
287	2726	6741
288	2735	6729
289	2745	6721
290	2753	6708
291	2761	6695
292	2768	6680
293	2777	6669
294	2784	6655
295	2796	6650
296	2805	6640
297	2813	6627
298	2822	6618
299	2833	6612
300	2841	6599
301	2849	6586
302	2857	6572
303	2864	6557
304	2871	6543
305	2879	6529
306	2886	6516
307	2893	6501
308	2901	6488
309	2908	6474
310	2916	6460
311	2924	6449
312	2933	6438
313	2942	6427
314	2950	6415
315	2958	6403
316	2965	6389
317	2973	6377
318	2983	6368
319	2992	6359
320	3000	6347
321	3009	6336
322	3018	6326
323	3026	6315
324	3034	6303
325	3042	6290
326	3050	6278
327	3058	6267
328	3066	6254
329	3074	6242
330	3082	6229
331	3089	6216
332	3097	6203
333	3104	6191
334	3112	6178
335	3120	6166
336	3127	6152
337	3136	6142
338	3146	6134
339	3154	6122
340	3161	6109
341	3169	6097
342	3176	6084
343	3184	6072
344	3191	6059
345	3200	6048
346	3207	6036
347	3215	6024
348	3222	6011
349	3230	5999
350	3237	5986
351	3244	5973
352	3252	5961
353	3260	5949
354	3268	5938
355	3275	5925
356	3283	5913
357	3291	5902
358	3302	5896
359	3309	5884
360	3317	5871
361	3324	5858
362	3331	5846
363	3338	5834
364	3346	5821
365	3353	5809
366	3361	5798
367	3369	5786
368	3376	5773
369	3384	5762
370	3391	5750
371	3400	5740
372	3407	5727
373	3415	5716
374	3422	5704
375	3430	5692
376	3437	5680
377	3445	5670
378	3455	5662
379	3465	5654
380	3473	5643
381	3480	5631
382	3489	5620
383	3497	5610
384	3506	5601
385	3515	5592
386	3528	5588
387	3538	5581
388	3548	5573
389	3561	5570
390	3572	5564
391	3582	5557
392	3600	5560
393	3630	5583
394	3643	5579
395	3654	5574
396	3667	5570
397	3677	5562
398	3686	5553
399	3698	5547
400	3709	5540
401	3719	5533
402	3728	5523
403	3738	5515
404	3746	5504
405	3755	5494
406	3764	5485
407	3779	5484
408	3789	5475
409	3797	5464
410	3806	5454
411	3815	5445
412	3823	5434
413	3830	5422
414	3839	5411
415	3846	5399
416	3854	5388
417	3861	5377
418	3869	5365
419	3876	5353
420	3884	5342
421	3891	5330
422	3898	5318
423	3906	5306
424	3915	5297
425	3926	5290
426	3934	5279
427	3941	5267
428	3950	5257
429	3958	5247
430	3967	5237
431	3975	5226
432	3982	5215
433	3989	5203
434	3997	5192
435	4006	5182
436	4013	5170
437	4021	5160
438	4029	5148
439	4036	5137
440	4044	5126
441	4051	5115
442	4059	5104
443	4067	5093
444	4077	5085
445	4087	5077
446	4096	5068
447	4106	5060
448	4115	5050
449	4123	5040
450	4132	5029
451	4139	5018
452	4146	5007
453	4153	4995
454	4161	4984
455	4168	4973
456	4176	4962
457	4183	4950
458	4190	4939
459	4199	4929
460	4206	4917
461	4213	4907
462	4223	4898
463	4235	4892
464	4242	4881
465	4250	4870
466	4257	4858
467	4265	4848
468	4272	4837
469	4279	4826
470	4287	4815
471	4295	4805
472	4302	4794
473	4310	4783
474	4317	4772
475	4324	4761
476	4332	4750
477	4340	4739
478	4348	4729
479	4356	4719
480	4363	4708
481	4371	4697
482	4381	4690
483	4391	4681
484	4400	4672
485	4408	4662
486	4417	4652
487	4424	4642
488	4432	4631
489	4441	4622
490	4451	4614
491	4460	4606
492	4470	4597
493	4479	4588
494	4487	4578
495	4495	4568
496	4503	4557
497	4510	4546
